,Crop,N,P,K,pH,0
Crop,,,,,,rice
N,,,,,,80
P,,,,,,40
K,,,,,,40
pH,,,,,,5.5
Crop,,,,,,maize
N,,,,,,80
P,,,,,,40
K,,,,,,20
pH,,,,,,5.5
Crop,,,,,,chickpea
N,,,,,,40
P,,,,,,60
K,,,,,,80
pH,,,,,,5.5
Crop,,,,,,kidneybeans
N,,,,,,20
P,,,,,,60
K,,,,,,20
pH,,,,,,5.5
Crop,,,,,,pigeonpeas
N,,,,,,20
P,,,,,,60
K,,,,,,20
pH,,,,,,5.5
Crop,,,,,,mothbeans
N,,,,,,20
P,,,,,,40
K,,,,,,20
pH,,,,,,5.5
Crop,,,,,,mungbean
N,,,,,,20
P,,,,,,40
K,,,,,,20
pH,,,,,,5.5
Crop,,,,,,blackgram
N,,,,,,40
P,,,,,,60
K,,,,,,20
pH,,,,,,5.0
Crop,,,,,,lentil
N,,,,,,20
P,,,,,,60
K,,,,,,20
pH,,,,,,5.5
Crop,,,,,,pomegranate
N,,,,,,20
P,,,,,,10
K,,,,,,40
pH,,,,,,5.5
Crop,,,,,,banana
N,,,,,,100
P,,,,,,75
K,,,,,,50
pH,,,,,,6.5
Crop,,,,,,mango
N,,,,,,20
P,,,,,,20
K,,,,,,30
pH,,,,,,5.0
Crop,,,,,,grapes
N,,,,,,20
P,,,,,,125
K,,,,,,200
pH,,,,,,4.0
Crop,,,,,,watermelon
N,,,,,,100
P,,,,,,10
K,,,,,,50
pH,,,,,,5.5
Crop,,,,,,muskmelon
N,,,,,,100
P,,,,,,10
K,,,,,,50
pH,,,,,,5.5
Crop,,,,,,apple
N,,,,,,20
P,,,,,,125
K,,,,,,200
pH,,,,,,6.5
Crop,,,,,,orange
N,,,,,,20
P,,,,,,10
K,,,,,,10
pH,,,,,,4.0
Crop,,,,,,papaya
N,,,,,,50
P,,,,,,50
K,,,,,,50
pH,,,,,,6.0
Crop,,,,,,coconut
N,,,,,,20
P,,,,,,10
K,,,,,,30
pH,,,,,,5.0
Crop,,,,,,cotton
N,,,,,,120
P,,,,,,40
K,,,,,,20
pH,,,,,,5.5
Crop,,,,,,jute
N,,,,,,80
P,,,,,,40
K,,,,,,40
pH,,,,,,5.5
Crop,,,,,,coffee
N,,,,,,100
P,,,,,,20
K,,,,,,30
pH,,,,,,5.5
